data_captura,data_referencia,indice,numero_indice,variacao_diaria,variacao_mensal,variacao_anual,variacao_ultimos_12_meses,variacao_ultimos_24_meses,duration_du,peso_geral,carteira_a_mercado_rs_mil,numero_operacoes,quant_negociada_1000_titulos,valor_negociado_rs_mil,pmr,convexidade,yield_,redemption_yield
2026-06-01,2026-06-01,IMA-GERAL-EX-C,9953.61857900,-0.0609,-0.0609,5.2149,13.4956,24.1692,507,98.92,8036936296,,,,912.296481546461,20.8129091230627,,
2026-06-01,2026-06-01,IMA-GERAL,10096.25188100,-0.0604,-0.0604,5.2306,13.4088,24.0585,512,100.00,8124887398,,,,917.285229638633,20.7592470434242,,
2026-06-02,2026-06-01,IRF-M 1,20142.97003300,0.0236,0.0236,5.4563,14.4539,27.5589,95,6.17,501101280,221,11965.57,11571143.07,138.745574682317,0.468489247972228,14.1643603959484,
2026-06-02,2026-06-01,IRF-M 1+,24387.53643800,-0.2002,-0.2002,3.7210,12.6239,21.1570,787,15.84,1287219606,296,19795.32,11496645.25,1223.82109695992,12.7182555900862,14.062354937606,
2026-06-02,2026-06-01,IRF-M,22511.26196500,-0.1376,-0.1376,4.1903,13.1720,23.2302,593,22.01,1788320886,517,31760.88,23067788.32,919.774581935855,9.28577675362608,14.090937652344,
2026-06-02,2026-06-01,IMA-B 5,11300.68488000,-0.0405,-0.0405,6.2082,12.3250,22.3197,466,10.58,859739612,635,1613.85,7268687.70,688.970037748692,6.37444452243534,8.64064086665702,
2026-06-02,2026-06-01,IMA-B 5+,12583.59433000,-0.4076,-0.4076,3.9161,9.1523,11.6183,2428,13.25,1076212719,1046,3248.12,13903820.26,4730.07707982619,134.904290991891,7.53944713155606,
2026-06-02,2026-06-01,IMA-B,11476.23221800,-0.2449,-0.2449,4.9191,10.5485,15.9912,1557,23.83,1935952331,1681,4861.97,21172507.97,2935.45654890258,77.8253027570325,8.02847770287215,
2026-06-02,2026-06-01,IMA-S,8607.12116400,0.0539,0.0539,5.8215,15.0342,28.9119,1,53.08,4312663080,526,1570.60,29905860.64,1,0,,
2026-06-02,2026-06-01,IMA-GERAL-EX-C,9953.61857900,-0.0609,-0.0609,5.2149,13.4956,24.1692,507,98.92,8036936296,2724,38193.46,74146156.92,912.296481546461,20.8129091230627,,
2026-06-02,2026-06-01,IMA-GERAL,10096.25188100,-0.0604,-0.0604,5.2306,13.4088,24.0585,512,100.00,8124887398,2724,38193.46,74146156.92,917.285229638633,20.7592470434242,,
2026-06-02,2026-06-02,IRF-M 1,20154.43293200,0.0569,0.0806,5.5163,14.4556,27.6315,96,6.21,513878875,,,,140.061383733057,0.472470349515979,14.1480811940526,
2026-06-02,2026-06-02,IRF-M 1+,24341.29270800,-0.1896,-0.3895,3.5243,12.5782,20.9273,787,15.73,1300807818,,,,1226.6141925775,12.7217940673545,14.1386533214725,
2026-06-02,2026-06-02,IRF-M,22484.26365100,-0.1199,-0.2574,4.0653,13.1327,23.0824,592,21.95,1814686692,,,,918.926624775964,9.25305827165607,14.1413230851141,
2026-06-02,2026-06-02,IMA-B 5,11295.84799600,-0.0428,-0.0833,6.1627,12.3539,22.2674,464,10.39,859371629,,,,687.542548622211,6.34482038698088,8.72473586868389,
2026-06-02,2026-06-02,IMA-B 5+,12542.63917000,-0.3255,-0.7318,3.5778,9.0552,11.2550,2423,12.97,1072710026,,,,4728.83439869482,134.380160886875,7.58581273836202,
2026-06-02,2026-06-02,IMA-B,11453.28703800,-0.1999,-0.4444,4.7093,10.5187,15.7593,1552,23.37,1932081655,,,,2931.30604349728,77.4312535685881,8.0923949643171,
2026-06-02,2026-06-02,IMA-S,8611.75308400,0.0538,0.1077,5.8785,15.0337,28.9813,1,53.62,4433935508,,,,1,0,,
2026-06-02,2026-06-02,IMA-GERAL-EX-C,9949.16148200,-0.0448,-0.1056,5.1678,13.4809,24.1136,498,98.94,8180703855,,,,896.685739207577,20.3399254114086,,
2026-06-02,2026-06-02,IMA-GERAL,10091.78450400,-0.0442,-0.1046,5.1840,13.3944,24.0036,503,100.00,8268659482,,,,901.743414970527,20.291872622436,,
2026-06-03,2026-06-02,IRF-M 1,20154.43293200,0.0569,0.0806,5.5163,14.4556,27.6315,96,6.21,513878875,202,14805.83,13981385.75,140.061383733057,0.472470349515979,14.1480811940526,14.0152596536035
2026-06-03,2026-06-02,IRF-M 1+,24341.29270800,-0.1896,-0.3895,3.5243,12.5782,20.9273,787,15.73,1300807818,490,18469.34,13227001.24,1226.6141925775,12.7217940673545,14.1386533214725,14.1744721282314
2026-06-03,2026-06-02,IRF-M,22484.26365100,-0.1199,-0.2574,4.0653,13.1327,23.0824,592,21.95,1814686692,692,33275.17,27208386.98,918.926624775964,9.25305827165607,14.1413230851141,14.1671619284739
2026-06-03,2026-06-02,IMA-B 5,11295.84799600,-0.0428,-0.0833,6.1627,12.3539,22.2674,464,10.39,859371629,963,4170.41,18652191.37,687.542548622211,6.34482038698088,8.72473586868389,8.20767127712554
2026-06-03,2026-06-02,IMA-B 5+,12542.63917000,-0.3255,-0.7318,3.5778,9.0552,11.2550,2423,12.97,1072710026,1001,1261.54,5365036.69,4728.83439869482,134.380160886875,7.58581273836202,7.51288209827361
2026-06-03,2026-06-02,IMA-B,11453.28703800,-0.1999,-0.4444,4.7093,10.5187,15.7593,1552,23.37,1932081655,1964,5431.95,24017228.06,2931.30604349728,77.4312535685881,8.0923949643171,7.60533922076321
2026-06-03,2026-06-02,IMA-S,8611.75308400,0.0538,0.1077,5.8785,15.0337,28.9813,1,53.62,4433935508,874,2274.13,43407199.13,1,0,,
2026-06-03,2026-06-02,IMA-GERAL-EX-C,9949.16148200,-0.0448,-0.1056,5.1678,13.4809,24.1136,498,98.94,8180703855,3530,40981.25,94632814.17,896.685739207577,20.3399254114086,,
2026-06-03,2026-06-02,IMA-GERAL,10091.78450400,-0.0442,-0.1046,5.1840,13.3944,24.0036,503,100.00,8268659482,3530,40981.25,94632814.17,901.743414970527,20.291872622436,,
2026-06-04,2026-06-03,IRF-M 1,20156.22937600,0.0089,0.0895,5.5257,14.4128,27.5927,95,6.23,513924679,,,,139.008111209375,0.465754165359802,14.2286259834052,14.1459122690217
2026-06-04,2026-06-03,IRF-M 1+,24129.94979100,-0.8682,-1.2543,2.6255,11.4523,19.8597,784,15.64,1289513573,,,,1223.16585194334,12.5494415969289,14.4711754862995,14.5134362372868
2026-06-04,2026-06-03,IRF-M,22344.89363800,-0.6199,-0.8756,3.4202,12.3117,22.2920,587,21.87,1803438252,,,,914.214093760456,9.10596069276789,14.4020563050677,14.4965189488858
2026-06-04,2026-06-03,IMA-B 5,11261.38064100,-0.3051,-0.3882,5.8388,12.0103,21.8421,462,10.39,856749403,,,,685.164324560948,6.28350646499504,8.97118048912945,8.42148575089374
2026-06-04,2026-06-03,IMA-B 5+,12425.42737600,-0.9345,-1.6594,2.6099,8.0082,10.2784,2411,12.89,1062685480,,,,4725.00342553264,132.928698505316,7.70484590305624,7.62503801917153
2026-06-04,2026-06-03,IMA-B,11378.31758100,-0.6546,-1.0960,4.0239,9.7775,15.0115,1541,23.27,1919434882,,,,2921.8009475914,76.3999808018006,8.27008070732374,7.73166972090487
2026-06-04,2026-06-03,IMA-S,8616.38702200,0.0538,0.1616,5.9355,15.0318,28.9994,1,53.79,4436321385,,,,1,0,,
2026-06-04,2026-06-03,IMA-GERAL-EX-C,9923.00238100,-0.2629,-0.3683,4.8913,13.1176,23.7605,493,98.93,8159194519,,,,889.961825205653,19.9856524579161,,
2026-06-04,2026-06-03,IMA-GERAL,10065.55099000,-0.2599,-0.3643,4.9106,13.0335,23.6540,497,100.00,8247165167,,,,895.094604329491,19.9409078719155,,
2026-06-05,2026-06-03,IRF-M 1,20156.22937600,0.0089,0.0895,5.5257,14.4128,27.5927,95,6.23,513924679,103,33032.35,31958308.00,139.008111209375,0.465754165359802,14.2286259834052,14.1459122690217
2026-06-05,2026-06-03,IRF-M 1+,24129.94979100,-0.8682,-1.2543,2.6255,11.4523,19.8597,784,15.64,1289513573,358,31735.23,20511477.04,1223.16585194334,12.5494415969289,14.4711754862995,14.5134362372868
2026-06-05,2026-06-03,IRF-M,22344.89363800,-0.6199,-0.8756,3.4202,12.3117,22.2920,587,21.87,1803438252,461,64767.58,52469785.04,914.214093760456,9.10596069276789,14.4020563050677,14.4965189488858
2026-06-05,2026-06-03,IMA-B 5,11261.38064100,-0.3051,-0.3882,5.8388,12.0103,21.8421,462,10.39,856749403,1744,6929.68,31435372.56,685.164324560948,6.28350646499504,8.97118048912945,8.42148575089374
2026-06-05,2026-06-03,IMA-B 5+,12425.42737600,-0.9345,-1.6594,2.6099,8.0082,10.2784,2411,12.89,1062685480,1332,1519.38,6418525.77,4725.00342553264,132.928698505316,7.70484590305624,7.62503801917153
2026-06-05,2026-06-03,IMA-B,11378.31758100,-0.6546,-1.0960,4.0239,9.7775,15.0115,1541,23.27,1919434882,3076,8449.06,37853898.33,2921.8009475914,76.3999808018006,8.27008070732374,7.73166972090487
2026-06-05,2026-06-03,IMA-S,8616.38702200,0.0538,0.1616,5.9355,15.0318,28.9994,1,53.79,4436321385,556,2429.69,46349640.78,1,0,,
2026-06-05,2026-06-03,IMA-GERAL-EX-C,9923.00238100,-0.2629,-0.3683,4.8913,13.1176,23.7605,493,98.93,8159194519,4093,75646.34,136673324.15,889.961825205653,19.9856524579161,,
2026-06-05,2026-06-03,IMA-GERAL,10065.55099000,-0.2599,-0.3643,4.9106,13.0335,23.6540,497,100.00,8247165167,4095,75647.60,136683382.70,895.094604329491,19.9409078719155,,
2026-06-06,2026-06-05,IRF-M 1,20159.63313700,0.0169,0.1064,5.5435,14.3523,27.5549,94,6.25,514011465,,,,136.965712623449,0.45932977918992,14.2996501011839,14.2550944154441
2026-06-06,2026-06-05,IRF-M 1+,23981.03043600,-0.6172,-1.8637,1.9921,11.0502,19.1880,781,15.58,1281555267,,,,1219.83107368918,12.4322658832733,14.7258413697078,14.7618173444394
2026-06-06,2026-06-05,IRF-M,22247.36422000,-0.4365,-1.3083,2.9688,11.9979,21.7885,584,21.83,1795566731,,,,909.842477585162,9.00480962915949,14.6038368825835,14.7385195120292
2026-06-06,2026-06-05,IMA-B 5,11233.85435600,-0.2444,-0.6317,5.5801,11.9568,21.5784,460,10.39,854655243,,,,681.859012544313,6.22748072322348,9.12394451369439,8.60083069103692
2026-06-06,2026-06-05,IMA-B 5+,12249.69252300,-1.4143,-3.0503,1.1587,6.3064,9.2966,2389,12.74,1047655745,,,,4714.89076492055,130.511037696428,7.87429356322174,7.79409961437106
2026-06-06,2026-06-05,IMA-B,11276.80796000,-0.8921,-1.9784,3.0959,8.7684,14.3119,1523,23.13,1902310988,,,,2902.96214027996,74.6739036795143,8.43572686377451,7.903631407175
2026-06-06,2026-06-05,IMA-S,8621.01460600,0.0537,0.2154,5.9924,14.9663,28.9618,1,53.97,4438703990,,,,1,0,,
2026-06-06,2026-06-05,IMA-GERAL-EX-C,9895.50126500,-0.2771,-0.6444,4.6006,12.7690,23.4759,486,98.93,8136581710,,,,880.032748450117,19.4457242280341,,
2026-06-06,2026-06-05,IMA-GERAL,10037.98460400,-0.2739,-0.6372,4.6233,12.6898,23.3719,490,100.00,8224578769,,,,885.266003886422,19.4062990660064,,
2026-06-08,2026-06-05,IRF-M 1,20159.63313700,0.0169,0.1064,5.5435,14.3523,27.5549,94,6.25,514011465,185,24800.41,23182383.92,136.965712623449,0.45932977918992,14.2996501011839,14.2550944154441
2026-06-08,2026-06-05,IRF-M 1+,23981.03043600,-0.6172,-1.8637,1.9921,11.0502,19.1880,781,15.58,1281555267,840,73277.24,50876535.37,1219.83107368918,12.4322658832733,14.7258413697078,14.7618173444394
2026-06-08,2026-06-05,IRF-M,22247.36422000,-0.4365,-1.3083,2.9688,11.9979,21.7885,584,21.83,1795566731,1025,98077.64,74058919.29,909.842477585162,9.00480962915949,14.6038368825835,14.7385195120292
2026-06-08,2026-06-05,IMA-B 5,11233.85435600,-0.2444,-0.6317,5.5801,11.9568,21.5784,460,10.39,854655243,2752,9887.03,44676392.99,681.859012544313,6.22748072322348,9.12394451369439,8.60083069103692
2026-06-08,2026-06-05,IMA-B 5+,12249.69252300,-1.4143,-3.0503,1.1587,6.3064,9.2966,2389,12.74,1047655745,1323,1491.58,6279162.34,4714.89076492055,130.511037696428,7.87429356322174,7.79409961437106
2026-06-08,2026-06-05,IMA-B,11276.80796000,-0.8921,-1.9784,3.0959,8.7684,14.3119,1523,23.13,1902310988,4075,11378.61,50955555.33,2902.96214027996,74.6739036795143,8.43572686377451,7.903631407175
2026-06-08,2026-06-05,IMA-S,8621.01460600,0.0537,0.2154,5.9924,14.9663,28.9618,1,53.97,4438703990,538,2389.87,45591400.87,1,0,,
2026-06-08,2026-06-05,IMA-GERAL-EX-C,9895.50126500,-0.2771,-0.6444,4.6006,12.7690,23.4759,486,98.93,8136581710,5638,111846.13,170605875.49,880.032748450117,19.4457242280341,,
2026-06-08,2026-06-05,IMA-GERAL,10037.98460400,-0.2739,-0.6372,4.6233,12.6898,23.3719,490,100.00,8224578769,5638,111846.13,170605875.49,885.266003886422,19.4062990660064,,
